Timestamp,The lawyer spoke with the tailor about his university,The worker told the pedestrian that she was repairing the sidewalk as quickly as possible,The clerk provided the customer with paperwork for him to fill out,The guard asked the teacher if he could bake a cake,The salesperson spoke with the auditor about his personal goals,The farmer spoke with the paralegal about his frustrations with work,The laborer told the paralegal that he could estimate how long the wait would be,The analyst told the clerk that he could sign the document,The construction worker disclosed to the receptionist that he could eat a sandwich,The mechanic called to inform the customer that he had completed the repair,The analyst told the auditor that he could pay with cash,The laborer disclosed to the receptionist that he could sign the document,The engineer informed someone that they would need more time to complete the project,The guard notified the auditor that his the application was under review,The chief spoke with the clerk about his desire to study,The CEO spoke with the accountant about his love for coffee,The lawyer disclosed to the cleaner that he can eat meat,The homeowner asked the inspector if the house she had purchased was structurally sound,The educator was meeting with a student to discuss her writing skills,The carpenter notified the designer that his the performance was unsatisfactory,The guard notified the teacher that his the concert was appreciated,The supervisor gave the employee feedback on his stellar performance,The analyst told the librarian that he could help with tax preparation,The mechanic called to inform the customer that her car would be ready in the morning,The chief told the teacher that he can do 100 push ups,The accountant notified the nurse that his the work was unsatisfactory,The customer asked to speak with the manager because she would be able to fix the billing error,The technician told the nurse that he could sign the document,The pharmacist told the patient that he recommended taking the pills with food,The engineer notified the teacher that his the performance was unsatisfactory,mTurk ID
7/3/2021 11:35:10,6,8,9,6,4,8,4,3,4,8,6,5,7,6,5,8,5,8,6,9,7,6,4,6,10,6,5,8,7,7,A151QFHTLVUIU
7/3/2021 11:35:56,7,6,5,6,5,8,5,6,7,6,7,6,5,7,5,5,6,5,6,6,5,6,6,7,6,5,7,8,6,7,A3JGWM8EGRXOVI
7/3/2021 11:39:12,10,10,10,7,8,9,8,10,6,10,9,9,10,8,5,9,5,10,10,1,1,10,9,10,9,1,10,9,10,1,A53T3L2945P6V
7/3/2021 11:39:35,7,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,5,10,10,10,10,8,10,10,10,8,A2ELXYKRPPGRPB
7/3/2021 11:39:37,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,A3K6LZAQZOAPB2
7/3/2021 11:40:15,4,10,9,4,7,7,6,10,3,9,3,8,9,8,4,8,4,9,8,10,1,10,5,10,4,1,10,1,10,1, 	A2OB6SM4I6M2DE
7/3/2021 11:41:19,9,10,9,10,10,9,10,10,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,10,9,A3NPYXTMU38YBL
7/3/2021 11:57:00,6,9,5,9,8,6,7,10,8,6,9,6,7,9,7,6,9,8,7,9,7,6,9,7,10,6,10,7,6,8,A2X4Z6BYTUE8MC
7/3/2021 11:58:37,2,4,7,3,6,6,6,4,7,8,7,4,8,6,8,3,8,8,8,9,9,9,8,7,9,9,8,8,6,8,A3OSGBQXGDDRT5
7/3/2021 12:02:50,7,7,7,8,6,7,5,7,5,7,6,7,5,7,5,8,4,8,6,8,5,7,6,7,6,7,6,6,6,7,A1XXRBBQ6HFGBA
7/3/2021 12:02:58,6,7,6,6,7,7,5,6,7,5,4,8,6,6,6,6,8,6,4,7,6,6,5,4,7,6,6,5,7,6,A26E0HNQHX958X
7/3/2021 12:05:35,6,9,8,9,8,9,8,8,6,6,9,9,9,5,5,8,8,6,7,8,9,9,6,7,8,8,5,6,8,9,A1ESKJFDQUMBL4
7/3/2021 12:06:20,8,6,6,5,9,7,6,5,8,5,9,5,8,7,3,4,9,6,4,9,3,7,5,8,4,8,8,3,8,7,A2QKKQA56N8KS4
7/3/2021 12:08:02,2,1,9,2,5,2,2,9,1,10,9,10,10,1,1,2,1,10,9,2,2,10,2,10,1,1,9,1,10,2,APC684U8U3RF3
7/3/2021 12:08:02,7,6,9,7,6,8,6,4,7,6,7,9,10,5,4,6,8,7,6,9,8,6,9,4,4,6,7,6,9,6,A2VRS1GXUEU7Y2
7/3/2021 12:08:40,1,9,8,1,8,6,9,10,3,10,9,7,9,2,1,1,4,6,9,8,1,7,1,10,1,4,10,1,2,4,A1Z7468WBINN2S
7/3/2021 12:15:42,8,6,8,7,8,9,7,8,10,7,6,5,4,7,4,3,7,8,7,3,5,7,9,6,5,9,6,9,5,5,A2ZG43P9OR4KEU
7/3/2021 12:17:49,9,9,8,7,8,10,9,9,9,10,9,10,9,8,9,9,8,9,8,8,9,8,7,8,9,8,9,9,8,7,A1UBZMLW4ZE3G1
7/3/2021 12:20:02,7,10,7,4,10,9,6,10,4,10,8,10,9,8,7,10,3,10,10,3,1,10,10,10,10,4,10,9,8,3,A1X1SOI48T1C6E
7/3/2021 12:21:56,1,9,3,1,8,3,5,8,2,8,9,1,9,9,2,1,1,1,9,1,2,8,9,6,1,1,9,2,9,2,AV8E8CB930R3O
7/3/2021 12:23:50,6,9,7,3,3,4,4,7,5,9,8,3,9,6,9,2,3,3,9,9,6,5,3,9,3,3,7,2,9,3,A2CNDKFIY9FA88
7/3/2021 12:24:35,10,10,10,5,8,10,10,5,3,10,6,6,6,6,9,10,2,10,9,1,1,10,10,10,4,1,10,8,10,1,A2JI7RGC80105T
7/3/2021 12:28:17,5,5,6,5,7,5,6,6,6,5,6,4,7,7,6,6,7,7,6,5,7,5,7,5,6,4,6,5,5,5,AR8M7X4W9PJ4F
7/3/2021 12:29:11,5,5,8,5,7,7,8,9,3,10,10,7,3,7,6,7,5,5,6,5,4,9,10,9,4,5,6,9,10,6,A1YTKIM7NU5MGV
7/3/2021 12:29:56,8,6,4,2,2,3,3,3,3,7,7,4,2,2,4,4,1,2,3,7,8,9,8,8,8,3,6,2,8,3,AB5N25TN92NC4
7/3/2021 12:31:32,1,10,9,2,1,1,10,10,1,10,10,8,10,10,6,1,1,10,10,10,1,10,5,8,1,1,10,1,10,5,COPIEDA1IU3SARCEF18E
7/3/2021 12:33:08,3,8,3,1,8,3,8,7,1,10,6,7,9,2,2,4,2,3,8,4,3,9,1,10,5,1,8,1,10,2,A2IVLRO164XH51
7/3/2021 12:33:09,4,10,10,1,10,7,8,10,1,10,10,10,10,7,7,5,1,10,10,10,7,10,9,10,2,1,10,3,10,3,A2GZUEH8JPPBP
7/3/2021 12:34:55,7,8,5,7,7,6,7,6,7,8,8,6,7,4,8,7,4,6,7,7,4,6,8,7,6,4,6,7,6,5,A171SF2UF7YUN4 
7/3/2021 12:39:07,10,9,8,9,10,9,7,8,9,9,9,9,9,9,9,9,9,10,9,9,10,6,9,9,8,9,7,9,9,9,A36QBD8ZQDIP5R
7/3/2021 12:49:28,9,10,10,8,8,8,8,9,7,10,10,10,10,6,8,7,5,10,10,10,3,10,9,10,5,2,10,8,10,1,A3E32L95VIK9PG
7/3/2021 12:52:01,9,8,6,6,5,5,8,8,8,5,7,7,7,8,7,8,7,8,8,6,8,8,7,7,8,8,9,6,9,8,A1VOW1Y4RVQXLR
7/3/2021 12:53:28,7,7,9,9,9,8,8,8,9,9,9,5,6,7,7,8,8,8,8,8,8,9,9,9,9,9,6,7,7,8,A1VOW1Y4RVQXLR
7/3/2021 12:58:24,6,4,7,2,8,5,3,3,6,5,7,4,7,8,5,7,4,6,5,7,6,8,4,10,1,3,5,1,4,6,A171SF2UF7YUN4 
7/3/2021 12:59:44,5,4,7,2,3,2,2,4,1,9,2,2,6,2,2,1,1,2,4,1,1,4,1,9,2,2,1,1,8,2,ALWC0088GCMJL
7/3/2021 13:01:29,10,5,5,1,8,1,1,6,1,9,8,5,5,5,4,6,1,5,4,6,6,4,4,6,6,4,7,1,7,8,AUNX1G4IZUO2
7/3/2021 13:03:31,2,10,10,1,1,1,2,2,1,10,2,1,10,1,5,4,2,10,10,10,1,10,1,10,1,1,4,1,10,1,A220HL65E36RVF
7/3/2021 13:03:40,4,5,10,5,10,10,4,6,4,3,7,7,10,10,6,10,5,5,9,8,6,5,6,5,5,5,5,5,5,5,A2RQA2O5CGV9VA
7/3/2021 13:04:40,6,8,8,4,6,5,7,7,5,9,7,7,9,6,4,6,5,5,4,6,6,7,6,9,3,4,4,9,7,3,AI7B82OSX87GD
7/3/2021 13:06:43,1,10,10,1,5,5,7,10,1,10,10,10,10,1,2,1,1,7,10,10,1,10,4,10,2,1,10,1,10,1,A3I9CPE69O3INJ
7/3/2021 13:07:58,8,10,10,4,6,10,5,5,1,10,3,2,10,1,1,8,1,10,10,1,1,10,5,10,4,2,2,2,10,1,A1BI90XZ0GR5G6
7/3/2021 13:11:02,3,8,8,8,7,3,4,5,5,10,10,8,8,7,7,6,7,6,7,8,8,8,7,8,8,8,8,9,8,9,AJ43O59MBI55L
7/3/2021 13:13:12,9,10,10,2,3,5,7,9,2,10,10,9,10,10,2,2,1,10,10,9,3,9,2,10,1,10,10,10,10,1,A1QD52YU96AQQ3
7/3/2021 13:16:31,10,10,10,1,1,1,10,10,1,10,10,10,10,1,1,1,1,1,10,10,1,10,10,10,1,10,10,10,10,10,A2Y7PB2U8USUC8
7/3/2021 13:17:57,10,10,9,10,10,10,10,10,10,10,10,10,9,7,10,10,10,10,10,7,6,10,10,10,10,7,9,10,10,7,A9K43JFO379YG
7/3/2021 13:18:49,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ALXVCERP91A33
7/3/2021 13:18:53,1,8,5,1,1,1,2,5,2,10,4,2,8,2,1,2,1,1,9,1,7,8,6,9,1,1,1,2,9,2,A4CMWJW6W4LKB
7/3/2021 13:23:25,2,9,10,6,6,2,2,9,2,10,7,6,10,1,9,10,2,10,10,1,1,10,8,10,9,1,10,10,10,1,ID: COPIEDA7FHOT0UUHULB
7/3/2021 13:23:36,1,9,10,1,6,7,3,1,2,10,6,2,9,5,1,2,1,7,10,7,2,10,1,10,5,2,6,2,7,3,A29MM3QH9J9AI5
7/3/2021 13:23:45,1,6,5,6,10,6,2,6,1,10,3,5,8,1,7,8,5,10,10,3,1,10,5,10,3,5,8,6,10,4,A10TYE41WZEXYK
7/3/2021 13:23:55,5,8,6,6,9,5,7,7,5,7,6,4,9,6,7,8,6,6,8,5,6,7,5,7,3,3,7,5,8,3,A2G320C9X2VDHH
7/3/2021 13:26:33,8,9,7,9,7,8,7,9,7,8,5,7,9,7,6,8,6,7,9,7,8,9,7,6,9,6,8,6,7,9,A1HEGV06SCZZHG
7/3/2021 13:28:41,9,8,6,7,8,6,5,7,8,5,6,8,6,4,5,6,8,7,5,6,7,5,6,7,4,6,7,4,7,8,A2Y7N2C5G3TCR8
7/3/2021 13:30:28,4,9,1,6,6,8,2,2,2,10,2,9,5,1,6,8,9,9,9,1,8,10,9,9,9,5,1,4,3,2,A2ALMNRVE9FGQ8
7/3/2021 13:31:45,4,7,10,2,7,8,7,8,3,10,10,9,10,6,9,8,3,10,8,7,7,6,6,9,7,7,8,5,9,2,ARAU1IPRW0YI9
7/3/2021 13:33:55,1,10,9,7,9,9,9,10,3,10,7,7,8,2,7,10,2,10,10,2,5,10,9,10,9,6,10,6,10,6,AXAXLC0TXQ0QW
7/3/2021 13:45:16,6,7,5,7,5,7,5,7,5,7,6,5,7,6,7,8,5,8,6,7,8,8,6,7,6,8,6,7,6,7,ABVPW8753ZBJO
7/3/2021 14:28:33,7,5,7,6,7,6,7,7,6,7,8,6,6,7,6,4,7,5,7,5,8,6,8,6,8,4,8,5,8,6,A3288IGY03N58Q
7/3/2021 14:34:13,7,6,7,6,8,6,8,6,8,6,7,7,5,7,5,8,6,8,5,8,5,8,5,8,5,8,5,8,6,8,A2G44A4ZPWRPXU
